Member,Party,District,Congress,Resignation Date,Reason,Source,Category,State,Year
Walter McCoy,D,NJ-09,63rd,1914-10-03,Appointed federal judge,U.S. Congress,Other office,NJ,1914
Harry Covington,D,MD-01,63rd,1914-09-30,Appointed federal judge,U.S. Congress,Other office,MD,1914
William Murray,D,MA-10,63rd,1914-09-28,Appointed postmaster of Boston,U.S. Congress,Other office,MA,1914
Andrew Peters,D,MA-11,63rd,1914-08-15,Appointed to Wilson administration,U.S. Congress,Other office,MA,1914
William Sharp,D,OH-14,63rd,1914-07-23,Appointed to Wilson administration,U.S. Congress,Other office,OH,1914
James McDermott,D,IL-04,63rd,1914-07-21,"Implicated in lobbying scandal, resigned to avoid expulsion ",Sacramento Union,Other scandals,IL,1914
L.C. Dyer,R,MO-12,63rd,1914-06-19,His election was successfully contested & overturned,U.S. Congress,Election overturned,MO,1914
Henry Clayton,D,AL-03,63rd,1914-05-25,Appointed federal judge,U.S. Congress,Other office,AL,1914
James Michael Curley,D,MA-12,63rd,1914-02-04,Elected Boston mayor,U.S. Congress,Other office,MA,1914
Francis Harrison,D,NY-20,63rd,1913-09-01,Appointed Philippines governor,U.S. Congress,Other office,NY,1913
John W. Davis,D,WV-01,63rd,1913-08-29,Appointed to Wilson administration,U.S. Congress,Other office,WV,1913
Olin Young,R,MI-12,63rd,1913-05-16,Turned out votes were miscounted & he didn't win election,Congressional Record,Election overturned,MI,1913
Albert Burleson,D,TX-10,63rd,1913-03-06,Appointed to Wilson administration,U.S. Congress,Other office,TX,1913
John Weeks,R,MA-12,62nd,1913-03-04,Elected U.S. senator,U.S. Congress,Other office,MA,1913
Morris Sheppard,D,TX-01,62nd,1913-02-03,Elected U.S. senator,U.S. Congress,Other office,TX,1913
Joe T. Robinson,D,AR-06,62nd,1913-01-14,Elected Arkansas governor,U.S. Congress,Other office,AR,1913
James Cox,D,OH-03,62nd,1913-01-12,Elected Ohio governor,U.S. Congress,Other office,OH,1913
L.B. Hanna,R,ND-AL,62nd,1913-01-07,Elected North Dakota governor,U.S. Congress,Other office,ND,1913
Joseph Bailey,D,TX-SEN,62nd,1913-01-03,Retired; left early in disgust at election of progressive Wilson,"""Joe Bailey, the Last Democrat"" (p. 316)",,TX,1913
Bill Sulzer,D,NY-10,62nd,1912-12-31,Elected New York governor,U.S. Congress,Other office,NY,1912
Charles Bowman,R,PA-11,62nd,1912-12-12,His election was successfully contested & overturned,U.S. Congress,Election overturned,PA,1912
William Hughes,D,NJ-06,62nd,1912-09-27,Appointed New Jersey judge,U.S. Congress,Other office,NJ,1912
Theron Catlin,R,MO-11,62nd,1912-08-12,His election was successfully contested & overturned,U.S. Congress,Election overturned,MO,1912
William Lorimer,R,IL-SEN,62nd,1912-07-13,Election declared invalid,U.S. Senate,Election overturned,IL,1912
Joseph Terrell,D,GA-SEN,62nd,1911-07-14,Had a stroke,University of Georgia,Health/family,GA,1911
Walter Smith,R,IA-09,62nd,1911-03-15,Appointed federal judge,U.S. Congress,Other office,IA,1911
Asle Gronna,R,ND-AL,61st,1911-02-02,Elected U.S. senator,U.S. Congress,Other office,ND,1911
John Reynolds,R,PA-19,61st,1911-01-17,Elected Pennsylvania lieutenant governor,U.S. Congress,Other office,PA,1911
John Tener,R,PA-24,61st,1911-01-16,Elected Pennsylvania governor,U.S. Congress,Other office,PA,1911
Eugene Foss,D,MA-14,61st,1911-01-04,Elected Massachusetts governor,U.S. Congress,Other office,MA,1911
Gordon Russell,D,TX-03,61st,1910-06-14,Appointed federal judge,U.S. Congress,Other office,TX,1910
Fountain Thompson,D,ND-SEN,61st,1910-01-31,Ill health but was suspected to be political maneuvering,Bismarck Tribune,,ND,1910
William Lorimer,R,IL-06,61st,1909-06-17,Elected U.S. senator,U.S. Congress,Other office,IL,1909
