,Member,Party,Year,State,Reason,Resignation Date
316,Hazel Abel,R,1954,NE,Elected as caretaker; resigned to let successor start early,1954-12-31
317,Carl Curtis,R,1954,NE,Appointed U.S. senator,1954-12-31
318,Jacob Javits,R,1954,NY,Elected New York attorney general,1954-12-31
319,Charles Daniel,D,1954,SC,Appointment was expiring; resigned to let successor start early,1954-12-23
320,George Bender,R,1954,OH,Elected U.S. senator,1954-12-15
321,Roman Hruska,R,1954,NE,Elected U.S. senator,1954-11-08
322,Norris Cotton,R,1954,NH,Elected U.S. senator,1954-11-07
323,Robert Secrest,D,1954,OH,Appointed to Eisenhower administration,1954-09-26
324,Louis Heller,D,1954,NY,Appointed New York judge,1954-07-21
325,Clifford Case,R,1953,NJ,Took a job with Ford Foundation's Fund for the Republic,1953-08-16
326,Norris Poulson,R,1953,CA,Elected Los Angeles mayor,1953-07-11
327,Thomas Stanley,D,1953,VA,To focus on his run for governor,1953-02-03
328,Richard Nixon,R,1953,CA,Elected vice president,1953-01-01
329,Owen Brewster,R,1952,ME,Lost reelection bid & left early; unclear why,1952-12-31
330,Leonard Hall,R,1952,NY,Elected Nassau County surrogate,1952-12-31
331,Charles Potter,R,1952,MI,Elected U.S. senator,1952-11-04
332,Foster Furcolo,D,1952,MA,Appointed Massachusetts treasurer,1952-09-30
333,Tom Pickett,D,1952,TX,Took a job with National Coal Association,1952-06-30
334,T. Vincent Quinn,D,1951,NY,Elected Queens district attorney,1951-12-30
335,Edward Breen,D,1951,OH,Ill health,1951-10-01
336,Harry Towe,R,1951,NJ,Appointed New Jersey deputy attorney general,1951-09-07
337,Ed Gossett,D,1951,TX,Took a job with Southwestern Bell Telephone Company,1951-07-31
338,Thomas Underwood,D,1951,KY,Appointed U.S. senator,1951-03-17
339,Frank Barrett,R,1950,WY,Elected Wyoming governor,1950-12-31
340,Sheridan Downey,D,1950,CA,Ill health,1950-11-30
341,Richard Nixon,R,1950,CA,Appointed U.S. senator,1950-11-30
342,Eugene Worley,D,1950,TX,Appointed federal judge,1950-04-03
343,J. Parnell Thomas,R,1950,NJ,Convicted of fraud,1950-01-02
344,Raymond Baldwin,R,1949,CT,Appointed Connecticut Supreme Court justice,1949-12-16
345,J. Howard McGrath,D,1949,RI,Appointed to Truman administration,1949-08-23
346,Robert Wagner,D,1949,NY,Health reasons,1949-06-28
347,Alben Barkley,D,1949,KY,Elected vice president,1949-01-19
348,Karl Mundt,R,1948,SD,Appointed U.S. senator,1948-12-30
349,Vera Bushfield,R,1948,SD,Appointment was expiring; resigned to let successor start early,1948-12-26
350,Noble Johnson,R,1948,IN,Appointed federal judge,1948-07-01
